                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,           val/ave_loss,                   mIOU,         train/ave_loss,                 sigma1,                 sigma2,                 lr/pg0,                 lr/pg1,                 lr/pg2,                 lr/pg3
                     89,                 1.0974,                0.94481,                 1.6261,                0.82426,                 0.7562,                0.86031,                0.62956,                 1.0116,                0.78312,                 1.5538,                0.01182,                0.70531,              0.0065106,                 10.675,               0.084405,             0.00069881,             0.00069881,             0.00069881,             0.00069881
                     90,                 1.1287,                0.95948,                 1.6499,                0.81553,                0.77138,                0.85827,                0.62549,                 1.0166,                 0.7789,                 1.5765,                0.01229,                 0.7184,              0.0071487,                 10.675,               0.084405,              0.0006878,              0.0006878,              0.0006878,              0.0006878
                     91,                 1.0994,                0.93245,                 1.6252,                0.81329,                0.78019,                0.85764,                 0.6249,                 1.0119,                0.78713,                 1.5636,                0.01152,                0.71035,              0.0064413,                 10.675,               0.084405,              0.0006768,              0.0006768,              0.0006768,              0.0006768
                     92,                 1.1101,                0.94905,                 1.6339,                0.80033,                 0.7929,                0.85918,                0.62677,                 1.0163,                0.79094,                 1.5677,                0.01082,                0.71773,               0.006482,                 10.675,               0.084405,              0.0006658,              0.0006658,              0.0006658,              0.0006658
                     93,                 1.1042,                0.93324,                 1.6283,                0.81973,                0.77727,                0.85496,                 0.6248,                0.99948,                0.79066,                 1.5469,                0.01295,                0.71218,              0.0063068,                 10.675,               0.084405,              0.0006548,              0.0006548,              0.0006548,              0.0006548
                     94,                 1.0963,                0.93536,                 1.6188,                0.80572,                0.78097,                0.85545,                0.63313,                0.99864,                0.78779,                 1.5482,                0.00975,                0.71375,              0.0064672,                 10.675,               0.084405,              0.0006438,              0.0006438,              0.0006438,              0.0006438
                     95,                 1.0945,                0.92116,                 1.6127,                0.80861,                0.78448,                0.86326,                0.63178,                0.99624,                0.78603,                 1.5507,                0.01226,                0.72087,              0.0069556,                 10.675,               0.084405,             0.00063279,             0.00063279,             0.00063279,             0.00063279
                     96,                 1.0908,                0.90965,                  1.621,                0.82717,                0.78309,                0.86513,                0.63314,                 1.0095,                0.77613,                   1.56,                0.01202,                0.72149,              0.0071501,                 10.675,               0.084405,             0.00062179,             0.00062179,             0.00062179,             0.00062179
                     97,                 1.1085,                0.94579,                 1.6351,                0.79892,                0.81332,                0.86891,                0.64268,                0.99242,                0.76718,                 1.5451,                0.01332,                0.71589,              0.0066143,                 10.675,               0.084405,             0.00061079,             0.00061079,             0.00061079,             0.00061079
                     98,                 1.0917,                0.90532,                 1.6162,                0.81955,                0.80568,                0.86326,                0.63101,                 1.0032,                0.77179,                  1.544,                0.01045,                 0.7257,              0.0063589,                 10.675,               0.084405,             0.00059979,             0.00059979,             0.00059979,             0.00059979
                     99,                 1.0772,                0.89417,                 1.6108,                0.83636,                0.78848,                0.87094,                 0.6405,                 1.0028,                0.76129,                 1.5655,                0.01061,                 0.7179,              0.0064259,                 10.675,               0.084405,             0.00058878,             0.00058878,             0.00058878,             0.00058878
